start	end	text	speaker	confidence	source
00:00:16.862	00:00:18.082	No, I don't do this as well.		0.4905	whisper
00:00:18.322	00:00:18.702	No, no.		0.4905	whisper
00:00:18.922	00:00:20.082	It's my back side.		0.4905	whisper
00:00:20.322	00:00:21.122	I don't have a better head.		0.4905	whisper
00:00:21.822	00:00:22.322	Never mind.		0.4905	whisper
00:00:25.622	00:00:26.442	Let's see if we can do this.		0.4905	whisper
00:00:26.702	00:00:30.722	Let me have the groom's parents come sit over in the two seats over here.		0.4905	whisper
00:00:31.322	00:00:32.022	Oh, I got the one.		0.4905	whisper
00:00:32.642	00:00:33.702	The second row.		0.4905	whisper
00:00:34.162	00:00:35.002	Yeah, second row.		0.4905	whisper
00:00:35.362	00:00:35.582	Oh, right.		0.4905	whisper
00:00:35.742	00:00:36.662	I can't do it.		0.4905	whisper
00:00:36.802	00:00:37.702	I can't do it.		0.4905	whisper
00:00:38.462	00:00:39.162	I can't do it.		0.4905	whisper
00:00:40.222	00:00:41.102	I can't do it.		0.4905	whisper
00:00:41.482	00:00:42.122	I can't do it.		0.4905	whisper
00:00:42.122	00:00:43.222	I can't do it.		0.4905	whisper
00:00:43.582	00:00:43.922	Here.		0.4905	whisper
00:00:44.142	00:00:44.422	I can't do it.		0.4905	whisper
00:00:47.602	00:00:49.342	We're both losing.		0.1892	whisper
00:00:49.982	00:00:51.422	Thank you.		0.1892	whisper
00:00:52.462	00:00:56.262	I can't do it.		0.1892	whisper
00:01:05.542	00:01:06.602	No.		0.1892	whisper
00:01:08.242	00:01:09.862	There's any other family?		0.1892	whisper
00:01:10.502	00:01:14.442	No problem with that.		0.1892	whisper
00:01:14.442	00:01:15.742	I usually have them come back		0.4297	whisper
00:01:16.682	00:01:18.402	because they start getting on the feet		0.4297	whisper
00:01:18.402	00:01:19.382	and see their soft skills.		0.4297	whisper
00:01:19.642	00:01:19.862	Right.		0.4297	whisper
00:01:20.462	00:01:21.742	Visual is much easier		0.4297	whisper
00:01:21.742	00:01:24.162	when we get in the air.		0.4297	whisper
00:01:24.162	00:01:24.722	Here's what I do.		0.4297	whisper
00:01:25.102	00:01:26.102	If you can do it.		0.4297	whisper
00:01:26.382	00:01:26.902	Yeah, I agree.		0.4297	whisper
00:01:27.802	00:01:28.762	That's really possible.		0.4297	whisper
00:01:29.042	00:01:30.022	Working like a good home.		0.4297	whisper
00:01:30.202	00:01:31.662	Yeah, working like a good home.		0.4297	whisper
00:01:32.122	00:01:33.082	Even my office.		0.4297	whisper
00:01:34.602	00:01:36.342	My daughter got married to New York.		0.4297	whisper
00:01:37.402	00:01:38.562	Her father-in-law.		0.4297	whisper
00:01:38.982	00:01:39.982	You know, he's a father-in-law.		0.4297	whisper
00:01:40.442	00:01:40.782	Darn.		0.4297	whisper
00:01:40.942	00:01:41.762	He's very disappointed.		0.4297	whisper
00:01:41.762	00:01:45.022	He does all this stuff.		0.42	whisper
00:01:45.342	00:01:46.102	So I...		0.42	whisper
00:01:46.102	00:01:48.962	Wait, the office moved to other campus.		0.42	whisper
00:01:49.282	00:01:50.002	And you're in the campus.		0.42	whisper
00:01:50.482	00:01:51.902	And then you're in the campus.		0.42	whisper
00:01:52.622	00:01:54.402	So I had 60 miles.		0.42	whisper
00:01:55.142	00:01:56.522	I made it all.		0.42	whisper
00:01:56.522	00:01:57.402	She makes it different.		0.42	whisper
00:01:58.582	00:01:59.782	She's so cute.		0.42	whisper
00:02:00.742	00:02:02.842	My nephew's daughter.		0.42	whisper
00:02:04.862	00:02:07.682	She's really moving to the side.		0.42	whisper
00:02:07.902	00:02:08.962	So we've asked you.		0.42	whisper
00:02:08.962	00:02:11.662	And this is your student.		0.5254	whisper
00:02:13.022	00:02:13.422	Okay.		0.5254	whisper
00:02:13.462	00:02:14.402	Why would you come down?		0.5254	whisper
00:02:14.822	00:02:15.862	Mom's going to...		0.5254	whisper
00:02:16.062	00:02:16.462	She's in the front.		0.5254	whisper
00:02:18.002	00:02:19.102	We're keeping center stick.		0.5254	whisper
00:02:19.302	00:02:19.822	That is new, you know.		0.5254	whisper
00:02:20.582	00:02:21.302	Get them straight.		0.5254	whisper
00:02:21.442	00:02:21.862	Don't slouch.		0.5254	whisper
00:02:22.042	00:02:23.402	So as soon as they kiss		0.5254	whisper
00:02:23.402	00:02:24.402	or have whatever works		0.5254	whisper
00:02:24.402	00:02:25.342	they might have together,		0.5254	whisper
00:02:25.642	00:02:26.402	then you're just going to		0.5254	whisper
00:02:26.402	00:02:27.802	walk forward to receive your bike.		0.5254	whisper
00:02:28.102	00:02:28.362	Okay.		0.5254	whisper
00:02:28.882	00:02:29.342	Give the day.		0.5254	whisper
00:02:29.682	00:02:30.382	I just walked...		0.5254	whisper
00:02:30.382	00:02:30.802	Let me show up.		0.5254	whisper
00:02:34.082	00:02:34.322	Hi.		0.5254	whisper
00:02:34.522	00:02:35.262	No, later.		0.5254	whisper
00:02:35.542	00:02:35.802	Come on.		0.5254	whisper
00:02:37.302	00:02:38.102	This way.		0.5254	whisper
00:02:39.502	00:02:39.982	All right.		0.5572	whisper
00:02:42.122	00:02:42.482	Behave.		0.5572	whisper
00:02:42.642	00:02:43.602	Now, what you guys do,		0.5572	whisper
00:02:43.702	00:02:44.242	you can press your phone.		0.5572	whisper
00:02:44.442	00:02:44.842	I know.		0.5572	whisper
00:02:44.962	00:02:45.662	We'll be in this hand.		0.5572	whisper
00:02:46.002	00:02:47.002	You'll block hands.		0.5572	whisper
00:02:47.182	00:02:48.022	What is this?		0.5572	whisper
00:02:48.202	00:02:49.282	I'm going to have to hurt somebody.		0.5572	whisper
00:02:51.262	00:02:51.622	Stand.		0.5572	whisper
00:02:52.002	00:02:52.362	Okay.		0.5572	whisper
00:02:52.702	00:02:53.142	We're on that.		0.5572	whisper
00:02:53.342	00:02:53.762	We're on that.		0.5572	whisper
00:02:53.862	00:02:54.042	Good.		0.5572	whisper
00:02:54.362	00:02:54.742	We're on that.		0.5572	whisper
00:02:55.002	00:02:56.582	Because if you'll check		0.5572	whisper
00:02:56.582	00:02:57.902	your side of the clouds,		0.5572	whisper
00:02:58.882	00:02:59.962	she'll put them in your hand,		0.5572	whisper
00:03:00.182	00:03:00.742	and then you just		0.5572	whisper
00:03:00.742	00:03:01.682	can wrap up through.		0.5572	whisper
00:03:02.302	00:03:03.682	And you can take your hand,		0.5572	whisper
00:03:03.842	00:03:04.902	you can open your arm,		0.5572	whisper
00:03:05.022	00:03:06.222	whatever feels right,		0.5572	whisper
00:03:06.302	00:03:07.262	and whatever's coming from you.		0.5572	whisper
00:03:07.262	00:03:07.782	Okay.		0.5644	whisper
00:03:07.922	00:03:08.242	Okay.		0.5644	whisper
00:03:08.562	00:03:09.562	Because anything I tell you tonight,		0.5644	whisper
00:03:09.622	00:03:10.262	you're going to forget.		0.5644	whisper
00:03:10.462	00:03:10.702	Probably.		0.5644	whisper
00:03:11.522	00:03:12.542	So you just make it		0.5644	whisper
00:03:12.542	00:03:13.562	the easiest transition		0.5644	whisper
00:03:13.562	00:03:14.222	that you can.		0.5644	whisper
00:03:14.442	00:03:15.602	And then you walk forward.		0.5644	whisper
00:03:16.062	00:03:16.422	And you guys,		0.5644	whisper
00:03:16.502	00:03:17.362	as soon as they...		0.5644	whisper
00:03:17.362	00:03:18.502	Don't come too close.		0.5644	whisper
00:03:18.622	00:03:19.662	Because as soon as they come forward,		0.5644	whisper
00:03:19.762	00:03:20.822	the two of you turn.		0.5644	whisper
00:03:21.502	00:03:21.822	Okay?		0.5644	whisper
00:03:21.942	00:03:23.222	Because you're there to be with them.		0.5644	whisper
00:03:23.642	00:03:24.302	Do you know what I mean?		0.5644	whisper
00:03:24.842	00:03:24.942	What?		0.5644	whisper
00:03:26.962	00:03:27.282	What?		0.5644	whisper
00:03:27.322	00:03:28.402	I'm scared of you going to be there.		0.5644	whisper
00:03:29.042	00:03:30.002	You're just going to be a white.		0.5644	whisper
00:03:30.702	00:03:31.022	No.		0.5644	whisper
00:03:31.902	00:03:32.222	Yeah.		0.5644	whisper
00:03:32.542	00:03:33.522	I'm not supposed to be a question.		0.5644	whisper
00:03:34.682	00:03:35.502	I'm not supposed to be.		0.5644	whisper
00:03:35.502	00:03:35.702	I'm not supposed to be.		0.5644	whisper
00:03:36.582	00:03:37.002	I'm not supposed to be.		0.5644	whisper
00:03:37.002	00:03:38.642	That's even the boys would be calling that.		0.6964	whisper
00:03:41.362	00:03:42.462	You're going to have her ring?		0.6964	whisper
00:03:42.802	00:03:43.162	His ring?		0.6964	whisper
00:03:43.202	00:03:43.902	I'm going to have his ring.		0.6964	whisper
00:03:44.022	00:03:44.502	Somebody's ring.		0.6964	whisper
00:03:44.602	00:03:45.022	I'm going to have his ring.		0.6964	whisper
00:03:45.022	00:03:45.842	You're going to have her ring?		0.6964	whisper
00:03:46.042	00:03:46.182	Yeah.		0.6964	whisper
00:03:46.362	00:03:46.642	Okay.		0.6964	whisper
00:03:47.222	00:03:48.582	I'm going to say a little thing.		0.728	whisper
00:03:48.662	00:03:49.702	Like the ring's been symbolic.		0.728	whisper
00:03:49.922	00:03:51.642	Marriage has been at the age of blah, blah, blah, blah.		0.728	whisper
00:03:52.062	00:03:52.662	And then I say,		0.728	whisper
00:03:52.762	00:03:53.762	May I have the rings, please?		0.728	whisper
00:03:54.002	00:03:57.602	I would put my hand out and put the ring into my hand.		0.728	whisper
00:03:58.102	00:03:59.222	The other ring into my hand.		0.728	whisper
00:03:59.402	00:04:01.422	I'll do a short little blessing over it.		0.728	whisper
00:04:02.122	00:04:03.902	And say a few little things.		0.728	whisper
00:04:03.902	00:04:04.662	And then I'll say,		0.5115	whisper
00:04:04.862	00:04:05.262	Now Jim,		0.5115	whisper
00:04:05.462	00:04:06.562	Would you please be clean after me?		0.5115	whisper
00:04:06.642	00:04:07.962	The picture with his beautiful eyes.		0.5115	whisper
00:04:08.662	00:04:09.962	And you'll take...		0.5115	whisper
00:04:09.962	00:04:10.082	What?		0.5115	whisper
00:04:10.802	00:04:11.462	There's a ring.		0.5115	whisper
00:04:12.162	00:04:12.562	There's a ring.		0.5115	whisper
00:04:12.562	00:04:12.862	There's a ring.		0.5115	whisper
00:04:13.042	00:04:13.182	Okay.		0.5115	whisper
00:04:14.962	00:04:16.662	Take the ring out of my hand.		0.5115	whisper
00:04:16.782	00:04:17.442	I'll probably...		0.5115	whisper
00:04:17.442	00:04:18.482	I'll remind you to take the ring.		0.5115	whisper
00:04:19.302	00:04:23.462	And you can either slip it on right away,		0.5115	whisper
00:04:23.462	00:04:24.922	or as you're saying it.		0.7359	whisper
00:04:25.482	00:04:25.882	Yeah.		0.7359	whisper
00:04:26.422	00:04:28.242	You can slip it on as you're saying it,		0.7359	whisper
00:04:28.262	00:04:30.162	or wait until you've said everything		0.7359	whisper
00:04:30.162	00:04:31.162	and then slip it on.		0.7359	whisper
00:04:31.262	00:04:34.022	Whichever you nervously remember to do in the moment.		0.7359	whisper
00:04:34.262	00:04:35.062	As long as it's on.		0.7359	whisper
00:04:35.062	00:04:35.942	Does it matter where I do it?		0.7359	whisper
00:04:36.202	00:04:36.402	No.		0.7359	whisper
00:04:36.662	00:04:36.902	Okay.		0.7359	whisper
00:04:37.042	00:04:38.802	It doesn't matter if you want to just put it on		0.7359	whisper
00:04:38.802	00:04:39.542	right in the beginning,		0.7359	whisper
00:04:39.602	00:04:42.302	but it feels like you should kind of wait		0.7359	whisper
00:04:42.302	00:04:44.802	and either put it on while you're saying it		0.7359	whisper
00:04:44.802	00:04:46.082	or wait until you finish saying it		0.7359	whisper
00:04:46.082	00:04:46.922	and then put it on.		0.7359	whisper
00:04:47.142	00:04:47.322	Okay.		0.7359	whisper
00:04:49.802	00:04:51.142	I'm not giving the rest of the word.		0.7359	whisper
00:04:51.282	00:04:51.602	Okay.		0.7359	whisper
00:04:54.062	00:04:55.562	No, unless you want me to go through.		0.624	whisper
00:04:55.562	00:04:56.982	Do you want to go through them?		0.624	whisper
00:04:57.142	00:04:59.262	It's kind of nice to just get them in the moment.		0.624	whisper
00:04:59.562	00:05:02.142	If you're going to rehearse some of the feelings out of it.		0.624	whisper
00:05:03.742	00:05:05.362	And then I would say,		0.624	whisper
00:05:05.482	00:05:07.762	the next part is that you reach the way		0.624	whisper
00:05:07.762	00:05:09.822	you're being supposed to follow the burdens of trust,		0.624	whisper
00:05:10.302	00:05:11.582	having exchanged the vows with natural		0.624	whisper
00:05:11.582	00:05:13.122	and every civilist saying you're giving the brim.		0.624	whisper
00:05:14.242	00:05:14.602	Okay.		0.624	whisper
00:05:15.202	00:05:16.962	And I now have an issue with my wife.		0.624	whisper
00:05:17.102	00:05:18.782	At this point, you're going to do the cable ceremony.		0.624	whisper
00:05:19.222	00:05:19.582	Okay.		0.624	whisper
00:05:19.922	00:05:23.282	And I will give a little explanation		0.624	whisper
00:05:23.282	00:05:24.402	of what that is.		0.5054	whisper
00:05:25.282	00:05:26.242	As we'll be married,		0.5054	whisper
00:05:26.342	00:05:27.222	just a little bit of a commitment		0.5054	whisper
00:05:27.222	00:05:28.642	to Christ in the church.		0.5054	whisper
00:05:28.842	00:05:29.922	And I would symbolize the uniform		0.5054	whisper
00:05:29.922	00:05:31.142	today by Jim.		0.5054	whisper
00:05:31.442	00:05:31.882	I'm in the moment,		0.5054	whisper
00:05:32.042	00:05:33.082	I'm finding a wedding candle.		0.5054	whisper
00:05:33.402	00:05:34.922	And I talk about the two of you.		0.5054	whisper
00:05:35.102	00:05:36.502	The wedding candles on that side,		0.5054	whisper
00:05:36.502	00:05:37.802	which are already going to be		0.5054	whisper
00:05:37.802	00:05:39.482	that right of the mother or something.		0.5054	whisper
00:05:39.882	00:05:40.042	Okay.		0.5054	whisper
00:05:40.842	00:05:41.862	So today will be a bit of		0.5054	whisper
00:05:41.862	00:05:42.982	the beginning of the service,		0.5054	whisper
00:05:43.102	00:05:43.542	I understand.		0.5054	whisper
00:05:44.102	00:05:44.342	Okay.		0.5054	whisper
00:05:44.502	00:05:45.182	So I'll do it.		0.5054	whisper
00:05:45.262	00:05:45.802	I'll do it.		0.5054	whisper
00:05:46.922	00:05:47.322	So,		0.6171	whisper
00:05:48.702	00:05:49.102	what,		0.6171	whisper
00:05:49.322	00:05:50.382	so you're going to see.		0.6171	whisper
00:05:51.822	00:05:52.622	And then I'll say,		0.6171	whisper
00:05:52.722	00:05:53.402	ladies and gentlemen,		0.6171	whisper
